Age YrsFirm Appearance PQuota
47 17 1 74.4425835015009
56 3 0 119.603043095804
49 1 2 96.9987528619132
27 2 1 58.7451244650655
30 19 0 112.408393368325
45 5 2 110.256817061188
36 14 1 83.5193312197005
58 16 1 56.3031080529734
48 28 2 135.30751869374
29 5 2 86.947670715116
44 8 2 121.250793948503
50 14 0 132.083294517454
56 21 1 65.4402528902735
47 6 1 65.5834408215362
34 11 0 117.832153142033
28 9 2 97.2142646544304
46 9 0 117.019385022494
43 24 2 117.709280287640
54 3 0 148.055347837542
47 12 0 135.24884263161
56 4 2 144.142521289465
49 18 2 137.327491329325
46 13 0 146.034313544239
41 29 1 68.223538070443
52 12 2 121.381351572728
61 3 0 147.895001811471
22 6 2 99.016138552125
59 2 1 41.6937344996007
26 2 2 87.366039475945
58 7 0 148.826191459773
58 5 1 22.8577430612228
59 3 0 135.083003755869
32 8 0 107.106028533245
21 1 0 87.8857378744768
24 2 2 67.6326539460324
39 25 0 156.969417534364
31 12 2 99.4760452611883
57 15 0 164.419272311523
37 13 1 71.3739229648185
26 14 2 124.297957239392
41 6 1 60.6230145378985
36 31 0 156.149638776745
53 6 1 60.3006919370169
43 9 2 109.419634932182
33 1 0 113.878199492941
41 8 1 57.4616107493361
35 5 2 108.705435822854
57 2 0 124.000789942361
57 26 1 75.0784605221727
52 2 2 127.942341238738
30 17 1 88.8279357356239
34 1 0 112.188181796324
31 2 2 93.907985262047
39 2 0 117.947973477229
42 29 0 152.454368193941
52 17 2 145.585964852912
41 1 2 94.231965679971
51 2 0 125.835107299062
23 7 2 75.3909337738144
34 1 1 58.4798446398578
21 10 0 93.3006435954718
22 1 0 93.1565706897742
39 13 1 58.901630047891
51 18 0 141.75851492834
40 8 2 100.128573100472
53 12 1 57.819910795976
36 3 1 66.9345947095894
26 19 2 112.876005477740
57 3 2 103.751530918886
38 1 0 122.973616592557
41 3 2 97.7232383098785
24 8 2 76.5448322683822
50 2 2 117.289229310842
51 17 0 134.243443773402
49 17 1 73.0957280982503
26 2 2 63.566453005632
56 4 0 149.262463205141
24 10 0 107.32966271263
31 9 2 101.909035541208
24 3 2 89.3536204473993
